date,base,quote,rate
2025-08-18,KZT,KZT,1.0
2025-08-18,USD,KZT,480.0
2025-08-18,EUR,KZT,510.0
2025-08-18,RUB,KZT,5.2
2025-08-18,UZS,KZT,0.042
2025-08-19,KZT,KZT,1.0
2025-08-19,USD,KZT,480.0
2025-08-19,EUR,KZT,510.0
2025-08-19,RUB,KZT,5.2
2025-08-19,UZS,KZT,0.042
2025-08-20,KZT,KZT,1.0
2025-08-20,USD,KZT,480.0
2025-08-20,EUR,KZT,510.0
2025-08-20,RUB,KZT,5.2
2025-08-20,UZS,KZT,0.042
2025-08-21,KZT,KZT,1.0
2025-08-21,USD,KZT,480.0
2025-08-21,EUR,KZT,510.0
2025-08-21,RUB,KZT,5.2
2025-08-21,UZS,KZT,0.042
2025-08-22,KZT,KZT,1.0
2025-08-22,USD,KZT,480.0
2025-08-22,EUR,KZT,510.0
2025-08-22,RUB,KZT,5.2
2025-08-22,UZS,KZT,0.042
2025-08-23,KZT,KZT,1.0
2025-08-23,USD,KZT,480.0
2025-08-23,EUR,KZT,510.0
2025-08-23,RUB,KZT,5.2
2025-08-23,UZS,KZT,0.042
2025-08-24,KZT,KZT,1.0
2025-08-24,USD,KZT,480.0
2025-08-24,EUR,KZT,510.0
2025-08-24,RUB,KZT,5.2
2025-08-24,UZS,KZT,0.042
2025-08-25,KZT,KZT,1.0
2025-08-25,USD,KZT,480.0
2025-08-25,EUR,KZT,510.0
2025-08-25,RUB,KZT,5.2
2025-08-25,UZS,KZT,0.042
2025-08-26,KZT,KZT,1.0
2025-08-26,USD,KZT,480.0
2025-08-26,EUR,KZT,510.0
2025-08-26,RUB,KZT,5.2
2025-08-26,UZS,KZT,0.042
2025-08-27,KZT,KZT,1.0
2025-08-27,USD,KZT,480.0
2025-08-27,EUR,KZT,510.0
2025-08-27,RUB,KZT,5.2
2025-08-27,UZS,KZT,0.042
2025-08-28,KZT,KZT,1.0
2025-08-28,USD,KZT,480.0
2025-08-28,EUR,KZT,510.0
2025-08-28,RUB,KZT,5.2
2025-08-28,UZS,KZT,0.042
2025-08-29,KZT,KZT,1.0
2025-08-29,USD,KZT,480.0
2025-08-29,EUR,KZT,510.0
2025-08-29,RUB,KZT,5.2
2025-08-29,UZS,KZT,0.042
2025-08-30,KZT,KZT,1.0
2025-08-30,USD,KZT,480.0
2025-08-30,EUR,KZT,510.0
2025-08-30,RUB,KZT,5.2
2025-08-30,UZS,KZT,0.042
2025-08-31,KZT,KZT,1.0
2025-08-31,USD,KZT,480.0
2025-08-31,EUR,KZT,510.0
2025-08-31,RUB,KZT,5.2
2025-08-31,UZS,KZT,0.042
2025-09-01,KZT,KZT,1.0
2025-09-01,USD,KZT,480.0
2025-09-01,EUR,KZT,510.0
2025-09-01,RUB,KZT,5.2
2025-09-01,UZS,KZT,0.042
2025-09-02,KZT,KZT,1.0
2025-09-02,USD,KZT,480.0
2025-09-02,EUR,KZT,510.0
2025-09-02,RUB,KZT,5.2
2025-09-02,UZS,KZT,0.042
2025-09-03,KZT,KZT,1.0
2025-09-03,USD,KZT,480.0
2025-09-03,EUR,KZT,510.0
2025-09-03,RUB,KZT,5.2
2025-09-03,UZS,KZT,0.042
2025-09-04,KZT,KZT,1.0
2025-09-04,USD,KZT,480.0
2025-09-04,EUR,KZT,510.0
2025-09-04,RUB,KZT,5.2
2025-09-04,UZS,KZT,0.042
2025-09-05,KZT,KZT,1.0
2025-09-05,USD,KZT,480.0
2025-09-05,EUR,KZT,510.0
2025-09-05,RUB,KZT,5.2
2025-09-05,UZS,KZT,0.042
2025-09-06,KZT,KZT,1.0
2025-09-06,USD,KZT,480.0
2025-09-06,EUR,KZT,510.0
2025-09-06,RUB,KZT,5.2
2025-09-06,UZS,KZT,0.042
2025-09-07,KZT,KZT,1.0
2025-09-07,USD,KZT,480.0
2025-09-07,EUR,KZT,510.0
2025-09-07,RUB,KZT,5.2
2025-09-07,UZS,KZT,0.042
2025-09-08,KZT,KZT,1.0
2025-09-08,USD,KZT,480.0
2025-09-08,EUR,KZT,510.0
2025-09-08,RUB,KZT,5.2
2025-09-08,UZS,KZT,0.042
2025-09-09,KZT,KZT,1.0
2025-09-09,USD,KZT,480.0
2025-09-09,EUR,KZT,510.0
2025-09-09,RUB,KZT,5.2
2025-09-09,UZS,KZT,0.042
2025-09-10,KZT,KZT,1.0
2025-09-10,USD,KZT,480.0
2025-09-10,EUR,KZT,510.0
2025-09-10,RUB,KZT,5.2
2025-09-10,UZS,KZT,0.042
2025-09-11,KZT,KZT,1.0
2025-09-11,USD,KZT,480.0
2025-09-11,EUR,KZT,510.0
2025-09-11,RUB,KZT,5.2
2025-09-11,UZS,KZT,0.042
2025-09-12,KZT,KZT,1.0
2025-09-12,USD,KZT,480.0
2025-09-12,EUR,KZT,510.0
2025-09-12,RUB,KZT,5.2
2025-09-12,UZS,KZT,0.042
2025-09-13,KZT,KZT,1.0
2025-09-13,USD,KZT,480.0
2025-09-13,EUR,KZT,510.0
2025-09-13,RUB,KZT,5.2
2025-09-13,UZS,KZT,0.042
2025-09-14,KZT,KZT,1.0
2025-09-14,USD,KZT,480.0
2025-09-14,EUR,KZT,510.0
2025-09-14,RUB,KZT,5.2
2025-09-14,UZS,KZT,0.042
2025-09-15,KZT,KZT,1.0
2025-09-15,USD,KZT,480.0
2025-09-15,EUR,KZT,510.0
2025-09-15,RUB,KZT,5.2
2025-09-15,UZS,KZT,0.042
2025-09-16,KZT,KZT,1.0
2025-09-16,USD,KZT,480.0
2025-09-16,EUR,KZT,510.0
2025-09-16,RUB,KZT,5.2
2025-09-16,UZS,KZT,0.042
2025-09-17,KZT,KZT,1.0
2025-09-17,USD,KZT,480.0
2025-09-17,EUR,KZT,510.0
2025-09-17,RUB,KZT,5.2
2025-09-17,UZS,KZT,0.042
2025-09-18,KZT,KZT,1.0
2025-09-18,USD,KZT,480.0
2025-09-18,EUR,KZT,510.0
2025-09-18,RUB,KZT,5.2
2025-09-18,UZS,KZT,0.042
2025-09-19,KZT,KZT,1.0
2025-09-19,USD,KZT,480.0
2025-09-19,EUR,KZT,510.0
2025-09-19,RUB,KZT,5.2
2025-09-19,UZS,KZT,0.042
2025-09-20,KZT,KZT,1.0
2025-09-20,USD,KZT,480.0
2025-09-20,EUR,KZT,510.0
2025-09-20,RUB,KZT,5.2
2025-09-20,UZS,KZT,0.042
2025-09-21,KZT,KZT,1.0
2025-09-21,USD,KZT,480.0
2025-09-21,EUR,KZT,510.0
2025-09-21,RUB,KZT,5.2
2025-09-21,UZS,KZT,0.042
2025-09-22,KZT,KZT,1.0
2025-09-22,USD,KZT,480.0
2025-09-22,EUR,KZT,510.0
2025-09-22,RUB,KZT,5.2
2025-09-22,UZS,KZT,0.042
2025-09-23,KZT,KZT,1.0
2025-09-23,USD,KZT,480.0
2025-09-23,EUR,KZT,510.0
2025-09-23,RUB,KZT,5.2
2025-09-23,UZS,KZT,0.042
2025-09-24,KZT,KZT,1.0
2025-09-24,USD,KZT,480.0
2025-09-24,EUR,KZT,510.0
2025-09-24,RUB,KZT,5.2
2025-09-24,UZS,KZT,0.042
2025-09-25,KZT,KZT,1.0
2025-09-25,USD,KZT,480.0
2025-09-25,EUR,KZT,510.0
2025-09-25,RUB,KZT,5.2
2025-09-25,UZS,KZT,0.042
2025-09-26,KZT,KZT,1.0
2025-09-26,USD,KZT,480.0
2025-09-26,EUR,KZT,510.0
2025-09-26,RUB,KZT,5.2
2025-09-26,UZS,KZT,0.042
2025-09-27,KZT,KZT,1.0
2025-09-27,USD,KZT,480.0
2025-09-27,EUR,KZT,510.0
2025-09-27,RUB,KZT,5.2
2025-09-27,UZS,KZT,0.042
2025-09-28,KZT,KZT,1.0
2025-09-28,USD,KZT,480.0
2025-09-28,EUR,KZT,510.0
2025-09-28,RUB,KZT,5.2
2025-09-28,UZS,KZT,0.042
2025-09-29,KZT,KZT,1.0
2025-09-29,USD,KZT,480.0
2025-09-29,EUR,KZT,510.0
2025-09-29,RUB,KZT,5.2
2025-09-29,UZS,KZT,0.042
2025-09-30,KZT,KZT,1.0
