date,amount,currency,type,category,description,status
2025-07-22,5520027.36938819,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-22,4336921.566917385,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-23,9185277.433439331,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-23,3741889.9407601394,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-24,8014977.677234927,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-24,5276670.048754051,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-25,3875567.1108078016,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-25,4174956.671627078,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-25,3000000.0,KZT,outflow,Payroll,Employee salaries,actual
2025-07-26,2866752.436152116,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-26,3894339.018193939,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-27,5768589.419068438,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-27,4948424.521163049,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-28,7401775.917544247,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-28,3885942.235757523,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-29,7218516.715705508,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-29,4789011.416736462,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-30,2671449.27431115,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-30,3303889.9299243204,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-07-31,8433168.213379243,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-07-31,4379152.143338808,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-01,6362448.6131194215,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-01,3728889.9734123284,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-02,1649268.6867961222,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-02,3280432.3114619046,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-03,5841734.711714607,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-03,5017779.845622496,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-04,1729306.9521574387,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-04,2636673.4164120634,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-05,5959377.492929987,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-05,2899347.2884871466,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-06,7680530.90713346,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-06,4107335.399475888,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-07,6999290.864987638,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-07,2910510.7602322055,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-08,6811558.40455964,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-08,3414139.0573417563,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-09,4575973.636061597,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-09,6502377.87556975,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-10,6633103.872777665,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-10,2697130.6600895626,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-10,3000000.0,KZT,outflow,Payroll,Employee salaries,actual
2025-08-11,6095717.303209263,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-11,3943894.7507809442,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-12,4583466.173028,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-12,5086176.947825121,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-13,3166930.845337752,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-13,4602896.55815524,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-14,5013029.069350378,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-14,6012591.18888858,KZT,outflow,Suppliers,Raw materials / Services,actual
2025-08-15,6630470.300598913,KZT,inflow,Sales,Kaspi QR / Bank transfers,actual
2025-08-15,5954949.932502034,KZT,outflow,Suppliers,Raw materials / Services,actual
